"SpacebasedParkingUtilizationHistoric.timestamp.hour","SpacebasedParkingUtilizationHistoric.avgUtilization"
"2024‑10‑14 00:00:00 (UTC)","0.002785"
"2024‑10‑14 01:00:00 (UTC)","0"
"2024‑10‑14 02:00:00 (UTC)","0"
"2024‑10‑14 03:00:00 (UTC)","0.002777"
"2024‑10‑14 04:00:00 (UTC)","0.011142"
"2024‑10‑14 05:00:00 (UTC)","1.278551"
"2024‑10‑14 06:00:00 (UTC)","2.557103"
"2024‑10‑14 07:00:00 (UTC)","3.156342"
"2024‑10‑14 08:00:00 (UTC)","3.350974"
"2024‑10‑14 09:00:00 (UTC)","3.161111"
"2024‑10‑14 10:00:00 (UTC)","3.080779"
"2024‑10‑14 11:00:00 (UTC)","3.008356"
"2024‑10‑14 12:00:00 (UTC)","3.005571"
"2024‑10‑14 13:00:00 (UTC)","2.855555"
"2024‑10‑14 14:00:00 (UTC)","2.986072"
"2024‑10‑14 15:00:00 (UTC)","2.465181"
"2024‑10‑14 16:00:00 (UTC)","1.913888"
"2024‑10‑14 17:00:00 (UTC)","0.03064"
"2024‑10‑14 18:00:00 (UTC)","0.044568"
"2024‑10‑14 19:00:00 (UTC)","0.013927"
"2024‑10‑14 20:00:00 (UTC)","0.055555"
"2024‑10‑14 21:00:00 (UTC)","0.050139"
"2024‑10‑14 22:00:00 (UTC)","0.016713"
"2024‑10‑14 23:00:00 (UTC)","0.019498"
"2024‑10‑15 00:00:00 (UTC)","0.03064"
"2024‑10‑15 01:00:00 (UTC)","0.022284"
"2024‑10‑15 02:00:00 (UTC)","0.086111"
"2024‑10‑15 03:00:00 (UTC)","0.066852"
"2024‑10‑15 04:00:00 (UTC)","0.016713"
"2024‑10‑15 05:00:00 (UTC)","1.214484"
"2024‑10‑15 06:00:00 (UTC)","2.831932"
"2024‑10‑15 07:00:00 (UTC)","2.986072"
"2024‑10‑15 08:00:00 (UTC)","3.061111"
"2024‑10‑15 09:00:00 (UTC)","3.122562"
"2024‑10‑15 10:00:00 (UTC)","2.958217"
"2024‑10‑15 11:00:00 (UTC)","2.763231"
"2024‑10‑15 12:00:00 (UTC)","2.616666"
"2024‑10‑15 13:00:00 (UTC)","2.930362"
"2024‑10‑15 14:00:00 (UTC)","2.994428"
"2024‑10‑15 15:00:00 (UTC)","3.002785"
"2024‑10‑15 16:00:00 (UTC)","2.15"
"2024‑10‑15 17:00:00 (UTC)","0.033426"
"2024‑10‑15 18:00:00 (UTC)","0.03064"
"2024‑10‑15 19:00:00 (UTC)","0.005571"
"2024‑10‑15 20:00:00 (UTC)","0"
"2024‑10‑15 21:00:00 (UTC)","0"
"2024‑10‑15 22:00:00 (UTC)","0"
"2024‑10‑15 23:00:00 (UTC)","0"
"2024‑10‑16 00:00:00 (UTC)","0"
"2024‑10‑16 01:00:00 (UTC)","0"
"2024‑10‑16 02:00:00 (UTC)","0"
"2024‑10‑16 03:00:00 (UTC)","0"
"2024‑10‑16 04:00:00 (UTC)","0.005571"
"2024‑10‑16 05:00:00 (UTC)","1.139275"
"2024‑10‑16 06:00:00 (UTC)","3.016666"
"2024‑10‑16 07:00:00 (UTC)","3.052924"
"2024‑10‑16 08:00:00 (UTC)","2.986072"
"2024‑10‑16 09:00:00 (UTC)","2.637883"
"2024‑10‑16 10:00:00 (UTC)","3.125"
"2024‑10‑16 11:00:00 (UTC)","3.016713"
"2024‑10‑16 12:00:00 (UTC)","3.03064"
"2024‑10‑16 13:00:00 (UTC)","3.128133"
"2024‑10‑16 14:00:00 (UTC)","3.083333"
"2024‑10‑16 15:00:00 (UTC)","3.108635"
"2024‑10‑16 16:00:00 (UTC)","2.309192"
"2024‑10‑16 17:00:00 (UTC)","0.002785"
"2024‑10‑16 18:00:00 (UTC)","0.016666"
"2024‑10‑16 19:00:00 (UTC)","0.002785"
"2024‑10‑16 20:00:00 (UTC)","0"
"2024‑10‑16 21:00:00 (UTC)","0.002785"
"2024‑10‑16 22:00:00 (UTC)","0"
"2024‑10‑16 23:00:00 (UTC)","0"
"2024‑10‑17 00:00:00 (UTC)","0"
"2024‑10‑17 01:00:00 (UTC)","0"
"2024‑10‑17 02:00:00 (UTC)","0.016713"
"2024‑10‑17 03:00:00 (UTC)","0"
"2024‑10‑17 04:00:00 (UTC)","0.005571"
"2024‑10‑17 05:00:00 (UTC)","0.796657"
"2024‑10‑17 06:00:00 (UTC)","2.736111"
"2024‑10‑17 07:00:00 (UTC)","2.404692"
"2024‑10‑17 08:00:00 (UTC)","3.103064"
"2024‑10‑17 09:00:00 (UTC)","2.961002"
"2024‑10‑17 10:00:00 (UTC)","2.899721"
"2024‑10‑17 11:00:00 (UTC)","3.088888"
"2024‑10‑17 12:00:00 (UTC)","2.955431"
"2024‑10‑17 13:00:00 (UTC)","2.860724"
"2024‑10‑17 14:00:00 (UTC)","3.025"
"2024‑10‑17 15:00:00 (UTC)","2.827298"
"2024‑10‑17 16:00:00 (UTC)","2.116991"
"2024‑10‑17 17:00:00 (UTC)","0.013927"
"2024‑10‑17 18:00:00 (UTC)","0.005555"
"2024‑10‑17 19:00:00 (UTC)","0.005571"
"2024‑10‑17 20:00:00 (UTC)","0.013927"
"2024‑10‑17 21:00:00 (UTC)","0.002785"
"2024‑10‑17 22:00:00 (UTC)","0"
"2024‑10‑17 23:00:00 (UTC)","0.013888"
"2024‑10‑18 00:00:00 (UTC)","0.013927"
"2024‑10‑18 01:00:00 (UTC)","0"
"2024‑10‑18 02:00:00 (UTC)","0"
"2024‑10‑18 03:00:00 (UTC)","0"
"2024‑10‑18 04:00:00 (UTC)","0"
"2024‑10‑18 05:00:00 (UTC)","0.930362"
"2024‑10‑18 06:00:00 (UTC)","2.208913"
"2024‑10‑18 07:00:00 (UTC)","2.565459"
"2024‑10‑18 08:00:00 (UTC)","2.661111"
"2024‑10‑18 09:00:00 (UTC)","2.24791"
"2024‑10‑18 10:00:00 (UTC)","2.81337"
"2024‑10‑18 11:00:00 (UTC)","2.75766"
"2024‑10‑18 12:00:00 (UTC)","2.538888"
"2024‑10‑18 13:00:00 (UTC)","2.359331"
"2024‑10‑18 14:00:00 (UTC)","2.640668"
"2024‑10‑18 15:00:00 (UTC)","2.27298"
"2024‑10‑18 16:00:00 (UTC)","1.557103"
"2024‑10‑18 17:00:00 (UTC)","0.013888"
"2024‑10‑18 18:00:00 (UTC)","0.005571"
"2024‑10‑18 19:00:00 (UTC)","0.022284"
"2024‑10‑18 20:00:00 (UTC)","0.025069"
"2024‑10‑18 21:00:00 (UTC)","0.022222"
"2024‑10‑18 22:00:00 (UTC)","0.002785"
"2024‑10‑18 23:00:00 (UTC)","0"
"2024‑10‑19 00:00:00 (UTC)","0.008356"
"2024‑10‑19 01:00:00 (UTC)","0"
"2024‑10‑19 02:00:00 (UTC)","0"
"2024‑10‑19 03:00:00 (UTC)","0.033426"
"2024‑10‑19 04:00:00 (UTC)","0.013927"
"2024‑10‑19 05:00:00 (UTC)","0.782729"
"2024‑10‑19 06:00:00 (UTC)","2.172222"
"2024‑10‑19 07:00:00 (UTC)","2.824512"
"2024‑10‑19 08:00:00 (UTC)","2.877437"
"2024‑10‑19 09:00:00 (UTC)","2.91922"
"2024‑10‑19 10:00:00 (UTC)","3.066852"
"2024‑10‑19 11:00:00 (UTC)","3.072222"
"2024‑10‑19 12:00:00 (UTC)","2.891364"
"2024‑10‑19 13:00:00 (UTC)","2.777158"
"2024‑10‑19 14:00:00 (UTC)","2.749303"
"2024‑10‑19 15:00:00 (UTC)","3.602777"
"2024‑10‑19 16:00:00 (UTC)","2.529247"
"2024‑10‑19 17:00:00 (UTC)","0.008356"
"2024‑10‑19 18:00:00 (UTC)","0.005571"
"2024‑10‑19 19:00:00 (UTC)","0.008333"
"2024‑10‑19 20:00:00 (UTC)","0.011142"
"2024‑10‑19 21:00:00 (UTC)","0"
"2024‑10‑19 22:00:00 (UTC)","0.002785"
"2024‑10‑19 23:00:00 (UTC)","0"
"2024‑10‑20 00:00:00 (UTC)","0"
"2024‑10‑20 01:00:00 (UTC)","0"
"2024‑10‑20 02:00:00 (UTC)","0"
"2024‑10‑20 03:00:00 (UTC)","0"
"2024‑10‑20 04:00:00 (UTC)","0.005571"
"2024‑10‑20 05:00:00 (UTC)","1.094444"
"2024‑10‑20 06:00:00 (UTC)","2.791086"
"2024‑10‑20 07:00:00 (UTC)","3.119777"
"2024‑10‑20 08:00:00 (UTC)","2.811111"
"2024‑10‑20 09:00:00 (UTC)","2.284122"
"2024‑10‑20 10:00:00 (UTC)","2.523676"
"2024‑10‑20 11:00:00 (UTC)","2.256267"
"2024‑10‑20 12:00:00 (UTC)","2.219444"
"2024‑10‑20 13:00:00 (UTC)","2.275766"
"2024‑10‑20 14:00:00 (UTC)","2.281337"
"2024‑10‑20 15:00:00 (UTC)","2.487465"
"2024‑10‑20 16:00:00 (UTC)","1.455555"
"2024‑10‑20 17:00:00 (UTC)","0.002785"
"2024‑10‑20 18:00:00 (UTC)","0.011142"
"2024‑10‑20 19:00:00 (UTC)","0.002785"
"2024‑10‑20 20:00:00 (UTC)","0.019498"
