"SpacebasedParkingUtilizationHistoric.timestamp.hour","SpacebasedParkingUtilizationHistoric.avgUtilization"
"2024‑09‑16 00:00:00 (UTC)","5.660167"
"2024‑09‑16 01:00:00 (UTC)","5.827298"
"2024‑09‑16 02:00:00 (UTC)","5.888888"
"2024‑09‑16 03:00:00 (UTC)","5.83844"
"2024‑09‑16 04:00:00 (UTC)","5.512534"
"2024‑09‑16 05:00:00 (UTC)","4.844444"
"2024‑09‑16 06:00:00 (UTC)","4.557103"
"2024‑09‑16 07:00:00 (UTC)","3.695906"
"2024‑09‑16 08:00:00 (UTC)","3.275"
"2024‑09‑16 09:00:00 (UTC)","3.933147"
"2024‑09‑16 10:00:00 (UTC)","3.766666"
"2024‑09‑16 11:00:00 (UTC)","3.938718"
"2024‑09‑16 12:00:00 (UTC)","3.584958"
"2024‑09‑16 13:00:00 (UTC)","4.011111"
"2024‑09‑16 14:00:00 (UTC)","3.45961"
"2024‑09‑16 15:00:00 (UTC)","3.713091"
"2024‑09‑16 16:00:00 (UTC)","5.362116"
"2024‑09‑16 17:00:00 (UTC)","5.591666"
"2024‑09‑16 18:00:00 (UTC)","5.749303"
"2024‑09‑16 19:00:00 (UTC)","5.51532"
"2024‑09‑16 20:00:00 (UTC)","5.327777"
"2024‑09‑16 21:00:00 (UTC)","5.158774"
"2024‑09‑16 22:00:00 (UTC)","4.97493"
"2024‑09‑16 23:00:00 (UTC)","5.11142"
"2024‑09‑17 00:00:00 (UTC)","5.216666"
"2024‑09‑17 01:00:00 (UTC)","5.181058"
"2024‑09‑17 02:00:00 (UTC)","5.203342"
"2024‑09‑17 03:00:00 (UTC)","5.197771"
"2024‑09‑17 04:00:00 (UTC)","5.405555"
"2024‑09‑17 05:00:00 (UTC)","5.863509"
"2024‑09‑17 06:00:00 (UTC)","5.785515"
"2024‑09‑17 07:00:00 (UTC)","4.080555"
"2024‑09‑17 08:00:00 (UTC)","4.520891"
"2024‑09‑17 09:00:00 (UTC)","5.105849"
"2024‑09‑17 10:00:00 (UTC)","4.855153"
"2024‑09‑17 11:00:00 (UTC)","4.319444"
"2024‑09‑17 12:00:00 (UTC)","3.852367"
"2024‑09‑17 13:00:00 (UTC)","4.632311"
"2024‑09‑17 14:00:00 (UTC)","5.030555"
"2024‑09‑17 15:00:00 (UTC)","5.576601"
"2024‑09‑17 16:00:00 (UTC)","6.005571"
"2024‑09‑17 17:00:00 (UTC)","5.819444"
"2024‑09‑17 18:00:00 (UTC)","4.022284"
"2024‑09‑17 19:00:00 (UTC)","4.766016"
"2024‑09‑17 20:00:00 (UTC)","5.827298"
"2024‑09‑17 21:00:00 (UTC)","5.861111"
"2024‑09‑17 22:00:00 (UTC)","5.938718"
"2024‑09‑17 23:00:00 (UTC)","5.983286"
"2024‑09‑18 00:00:00 (UTC)","5.963788"
"2024‑09‑18 01:00:00 (UTC)","5.938888"
"2024‑09‑18 02:00:00 (UTC)","5.877437"
"2024‑09‑18 03:00:00 (UTC)","4.888579"
"2024‑09‑18 04:00:00 (UTC)","4.902506"
"2024‑09‑18 05:00:00 (UTC)","4.427777"
"2024‑09‑18 06:00:00 (UTC)","3.849582"
"2024‑09‑18 07:00:00 (UTC)","5.047353"
"2024‑09‑18 08:00:00 (UTC)","4.802777"
"2024‑09‑18 09:00:00 (UTC)","3.65181"
"2024‑09‑18 10:00:00 (UTC)","4.752089"
"2024‑09‑18 11:00:00 (UTC)","4.704735"
"2024‑09‑18 12:00:00 (UTC)","3.816666"
"2024‑09‑18 13:00:00 (UTC)","4.646239"
"2024‑09‑18 14:00:00 (UTC)","5.740947"
"2024‑09‑18 15:00:00 (UTC)","4.743732"
"2024‑09‑18 16:00:00 (UTC)","5.083333"
"2024‑09‑18 17:00:00 (UTC)","6.214484"
"2024‑09‑18 18:00:00 (UTC)","6.440111"
