"SpacebasedParkingUtilizationHistoric.timestamp.hour","SpacebasedParkingUtilizationHistoric.avgUtilization"
"2024‑09‑16 00:00:00 (UTC)","0.147632"
"2024‑09‑16 01:00:00 (UTC)","0.147632"
"2024‑09‑16 02:00:00 (UTC)","0.16713"
"2024‑09‑16 03:00:00 (UTC)","0.211699"
"2024‑09‑16 04:00:00 (UTC)","0.436111"
"2024‑09‑16 05:00:00 (UTC)","1.896935"
"2024‑09‑16 06:00:00 (UTC)","6.582172"
"2024‑09‑16 07:00:00 (UTC)","7.717647"
"2024‑09‑16 08:00:00 (UTC)","7.498607"
"2024‑09‑16 09:00:00 (UTC)","8.616666"
"2024‑09‑16 10:00:00 (UTC)","8.13649"
"2024‑09‑16 11:00:00 (UTC)","8.587743"
"2024‑09‑16 12:00:00 (UTC)","9.339832"
"2024‑09‑16 13:00:00 (UTC)","6.691666"
"2024‑09‑16 14:00:00 (UTC)","6.899721"
"2024‑09‑16 15:00:00 (UTC)","7.526462"
"2024‑09‑16 16:00:00 (UTC)","8.796657"
"2024‑09‑16 17:00:00 (UTC)","9.641666"
"2024‑09‑16 18:00:00 (UTC)","7.13649"
"2024‑09‑16 19:00:00 (UTC)","4.880222"
"2024‑09‑16 20:00:00 (UTC)","1.947075"
"2024‑09‑16 21:00:00 (UTC)","0.392757"
"2024‑09‑16 22:00:00 (UTC)","0.452777"
"2024‑09‑16 23:00:00 (UTC)","0.267409"
"2024‑09‑17 00:00:00 (UTC)","0.083565"
"2024‑09‑17 01:00:00 (UTC)","0.103064"
"2024‑09‑17 02:00:00 (UTC)","0.150417"
"2024‑09‑17 03:00:00 (UTC)","0.558333"
"2024‑09‑17 04:00:00 (UTC)","2.16713"
"2024‑09‑17 05:00:00 (UTC)","5.142061"
"2024‑09‑17 06:00:00 (UTC)","9.077994"
"2024‑09‑17 07:00:00 (UTC)","8.683333"
"2024‑09‑17 08:00:00 (UTC)","9.428969"
"2024‑09‑17 09:00:00 (UTC)","8.930362"
"2024‑09‑17 10:00:00 (UTC)","7.863509"
"2024‑09‑17 11:00:00 (UTC)","8.754874"
"2024‑09‑17 12:00:00 (UTC)","10.200557"
"2024‑09‑17 13:00:00 (UTC)","7.597222"
"2024‑09‑17 14:00:00 (UTC)","8.958217"
"2024‑09‑17 15:00:00 (UTC)","10.172701"
"2024‑09‑17 16:00:00 (UTC)","10.348189"
"2024‑09‑17 17:00:00 (UTC)","10.286111"
"2024‑09‑17 18:00:00 (UTC)","5.069637"
"2024‑09‑17 19:00:00 (UTC)","5.250696"
"2024‑09‑17 20:00:00 (UTC)","2.058495"
"2024‑09‑17 21:00:00 (UTC)","1.011142"
"2024‑09‑17 22:00:00 (UTC)","0.147222"
"2024‑09‑17 23:00:00 (UTC)","0.050139"
"2024‑09‑18 00:00:00 (UTC)","0.022284"
"2024‑09‑18 01:00:00 (UTC)","0.022284"
"2024‑09‑18 02:00:00 (UTC)","0.03064"
"2024‑09‑18 03:00:00 (UTC)","0.022222"
"2024‑09‑18 04:00:00 (UTC)","0.487465"
"2024‑09‑18 05:00:00 (UTC)","4.796657"
"2024‑09‑18 06:00:00 (UTC)","9.189415"
"2024‑09‑18 07:00:00 (UTC)","8.086111"
"2024‑09‑18 08:00:00 (UTC)","7.598885"
"2024‑09‑18 09:00:00 (UTC)","8.657381"
"2024‑09‑18 10:00:00 (UTC)","6.568245"
"2024‑09‑18 11:00:00 (UTC)","7.891364"
"2024‑09‑18 12:00:00 (UTC)","8.100278"
"2024‑09‑18 13:00:00 (UTC)","6.025"
"2024‑09‑18 14:00:00 (UTC)","6.526462"
"2024‑09‑18 15:00:00 (UTC)","8.002785"
"2024‑09‑18 16:00:00 (UTC)","10.661111"
"2024‑09‑18 17:00:00 (UTC)","9.877437"
"2024‑09‑18 18:00:00 (UTC)","6.069637"
"2024‑09‑18 19:00:00 (UTC)","4.119777"
