"SpacebasedParkingUtilizationHistoric.timestamp.hour","SpacebasedParkingUtilizationHistoric.avgUtilization"
"2024‑09‑24 00:00:00 (UTC)","1.955431"
"2024‑09‑24 01:00:00 (UTC)","1.986072"
"2024‑09‑24 02:00:00 (UTC)","1.952777"
"2024‑09‑24 03:00:00 (UTC)","1.874651"
"2024‑09‑24 04:00:00 (UTC)","2.200557"
"2024‑09‑24 05:00:00 (UTC)","2.97493"
"2024‑09‑24 06:00:00 (UTC)","3.913407"
"2024‑09‑24 07:00:00 (UTC)","2.883008"
"2024‑09‑24 08:00:00 (UTC)","2.540389"
"2024‑09‑24 09:00:00 (UTC)","2.03064"
"2024‑09‑24 10:00:00 (UTC)","2.136111"
"2024‑09‑24 11:00:00 (UTC)","1.908077"
"2024‑09‑24 12:00:00 (UTC)","2.532033"
"2024‑09‑24 13:00:00 (UTC)","2.805013"
"2024‑09‑24 14:00:00 (UTC)","2.722222"
"2024‑09‑24 15:00:00 (UTC)","2.036211"
"2024‑09‑24 16:00:00 (UTC)","2.412256"
"2024‑09‑24 17:00:00 (UTC)","2.411111"
"2024‑09‑24 18:00:00 (UTC)","2.67688"
"2024‑09‑24 19:00:00 (UTC)","3.401114"
"2024‑09‑24 20:00:00 (UTC)","2.913649"
"2024‑09‑24 21:00:00 (UTC)","2.952646"
"2024‑09‑24 22:00:00 (UTC)","2.933333"
"2024‑09‑24 23:00:00 (UTC)","2.835654"
"2024‑09‑25 00:00:00 (UTC)","2.752089"
"2024‑09‑25 01:00:00 (UTC)","2.816155"
"2024‑09‑25 02:00:00 (UTC)","2.896935"
"2024‑09‑25 03:00:00 (UTC)","2.872222"
"2024‑09‑25 04:00:00 (UTC)","2.799442"
"2024‑09‑25 05:00:00 (UTC)","2.114206"
"2024‑09‑25 06:00:00 (UTC)","2.486111"
"2024‑09‑25 07:00:00 (UTC)","2.766016"
"2024‑09‑25 08:00:00 (UTC)","2.665738"
"2024‑09‑25 09:00:00 (UTC)","2.525"
"2024‑09‑25 10:00:00 (UTC)","2.339832"
"2024‑09‑25 11:00:00 (UTC)","2.011142"
"2024‑09‑25 12:00:00 (UTC)","1.827298"
"2024‑09‑25 13:00:00 (UTC)","1.849582"
"2024‑09‑25 14:00:00 (UTC)","2.281337"
"2024‑09‑25 15:00:00 (UTC)","2.041666"
"2024‑09‑25 16:00:00 (UTC)","2.072423"
"2024‑09‑25 17:00:00 (UTC)","2.348189"
"2024‑09‑25 18:00:00 (UTC)","3"
"2024‑09‑25 19:00:00 (UTC)","3.100278"
"2024‑09‑25 20:00:00 (UTC)","2.913649"
"2024‑09‑25 21:00:00 (UTC)","2.284122"
"2024‑09‑25 22:00:00 (UTC)","2.284122"
"2024‑09‑25 23:00:00 (UTC)","2.133704"
"2024‑09‑26 00:00:00 (UTC)","2.383333"
"2024‑09‑26 01:00:00 (UTC)","2.161559"
"2024‑09‑26 02:00:00 (UTC)","2.200557"
"2024‑09‑26 03:00:00 (UTC)","2.339832"
"2024‑09‑26 04:00:00 (UTC)","2.380555"
"2024‑09‑26 05:00:00 (UTC)","3.412256"
"2024‑09‑26 06:00:00 (UTC)","3.270194"
"2024‑09‑26 07:00:00 (UTC)","3.655555"
"2024‑09‑26 08:00:00 (UTC)","2.7883"
"2024‑09‑26 09:00:00 (UTC)","2.754874"
"2024‑09‑26 10:00:00 (UTC)","3.108333"
"2024‑09‑26 11:00:00 (UTC)","3.314763"
"2024‑09‑26 12:00:00 (UTC)","2.986072"
"2024‑09‑26 13:00:00 (UTC)","3.194986"
"2024‑09‑26 14:00:00 (UTC)","3.15"
"2024‑09‑26 15:00:00 (UTC)","2.364902"
"2024‑09‑26 16:00:00 (UTC)","2.615598"
"2024‑09‑26 17:00:00 (UTC)","2.880555"
"2024‑09‑26 18:00:00 (UTC)","3.696378"
"2024‑09‑26 19:00:00 (UTC)","3.467966"
"2024‑09‑26 20:00:00 (UTC)","3.267409"
"2024‑09‑26 21:00:00 (UTC)","3.061281"
"2024‑09‑26 22:00:00 (UTC)","3.16713"
"2024‑09‑26 23:00:00 (UTC)","3.038888"
"2024‑09‑27 00:00:00 (UTC)","3.050139"
"2024‑09‑27 01:00:00 (UTC)","3.103064"
"2024‑09‑27 02:00:00 (UTC)","2.958217"
"2024‑09‑27 03:00:00 (UTC)","2.880555"
