0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Name der Erhebung,,UI_202403B0924,,,,,,,,,,,,,,,,,,,,
Geräte-UUID(s),,9a97153e-ff0d-4897-ba03-5c483d07634d,,,,,,,,,,,,,,,,,,,,
Zähldatum,,"Mon, 30. Sep 2024",,,,,,,,,,,,,von,nach,Wert,Spitzenzeit von Gesamt-Kfz,,,,
Startzeit,,00:00,,,,,,,,,,,,Tagesspitze,00:00:00,23:59:59,0,0,,,,
Standort,,"(50.118,8.688)",,,,,,,,,,,,Morgenspitze,06:00:00,10:00:00,0,0,,,,
Gesamt-Kfz,,"Pkw, Pkw mit Anhänger, Kraftrad, Lieferwagen, Lkw, Lkw mit Anhänger, Sattel-Kfz, Bus",,,,,,,,,,,,Abendspitze,15:00:00,19:00:00,0,0,,,,
,,,,,,,,,,,,,,Tagesverkehr,06:00:00,22:00:00,0,0,,,,
,,,,,,,,,,,,,,Nachtverkehr,22:00:00,06:00:00,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,
,von Rechts,von Links,von Oben,,,,,,,,,,,Rechts,,,Links,,,Oben,,
,,,,,,,,,,,,,,,,,,,,,,
Startzeit,von Rechts Links nach Unten,von Links Geradeaus in Rechts,von Oben Links in Rechts,von Oben Geradeaus in Unten,,,Intervall,Summe Stunde,,,,,,Fahrtrichtung Süd,Fahrtrichtung Nord,Q,Fahrtrichtung Nord-Ost,Fahrtrichtung Süd-West,Q,Fahrtrichtung Süd-Ost,Fahrtrichtung Nord-West,Q
00:00:00,5,43,9,17,,,74,0,,,,,,5,52,0,43,0,0,26,0,0
00:15:00,4,31,15,14,,,64,0,,,,,,4,46,0,31,0,0,29,0,0
00:30:00,5,35,7,23,,,70,0,,,,,,5,42,0,35,0,0,30,0,0
00:45:00,4,36,4,15,,,59,0,,,,,,4,40,0,36,0,0,19,0,0
01:00:00,6,15,7,15,,,43,0,,,,,,6,22,0,15,0,0,22,0,0
01:15:00,3,21,7,17,,,48,0,,,,,,3,28,0,21,0,0,24,0,0
01:30:00,4,19,9,8,,,40,0,,,,,,4,28,0,19,0,0,17,0,0
01:45:00,5,23,3,9,,,40,0,,,,,,5,26,0,23,0,0,12,0,0
02:00:00,5,14,10,8,,,37,0,,,,,,5,24,0,14,0,0,18,0,0
02:15:00,3,12,7,6,,,28,0,,,,,,3,19,0,12,0,0,13,0,0
02:30:00,4,11,8,7,,,30,0,,,,,,4,19,0,11,0,0,15,0,0
02:45:00,2,9,6,10,,,27,0,,,,,,2,15,0,9,0,0,16,0,0
03:00:00,1,5,7,9,,,22,0,,,,,,1,12,0,5,0,0,16,0,0
03:15:00,3,12,5,7,,,27,0,,,,,,3,17,0,12,0,0,12,0,0
03:30:00,4,11,7,4,,,26,0,,,,,,4,18,0,11,0,0,11,0,0
03:45:00,0,11,3,8,,,22,0,,,,,,0,14,0,11,0,0,11,0,0
04:00:00,2,9,5,7,,,23,0,,,,,,2,14,0,9,0,0,12,0,0
04:15:00,2,6,5,6,,,19,0,,,,,,2,11,0,6,0,0,11,0,0
04:30:00,3,8,3,7,,,21,0,,,,,,3,11,0,8,0,0,10,0,0
04:45:00,3,6,5,6,,,20,0,,,,,,3,11,0,6,0,0,11,0,0
05:00:00,7,13,6,17,,,43,0,,,,,,7,19,0,13,0,0,23,0,0
05:15:00,6,8,3,15,,,32,0,,,,,,6,11,0,8,0,0,18,0,0
05:30:00,20,23,2,23,,,68,0,,,,,,20,25,0,23,0,0,25,0,0
