Measurement_Site,sum,mean,max,min,std
B44,557154.0,290.18,2292.0,0.0,563.0
Mainzer Landstraße 32,361342.0,188.2,1788.0,0.0,400.21
Friedberger Tor,350811.0,166.1,1199.0,0.0,314.76
Hanauer Landstraße,228414.0,54.08,513.0,0.0,109.41
Richard Wagner Straße,185420.0,107.3,932.0,0.0,228.06
Glauburgstraße,105174.0,49.8,465.0,0.0,99.96
Habsburgerallee 59,78837.0,41.06,330.0,0.0,81.43
Töngesgasse,67545.0,31.98,330.0,0.0,73.83
Heiligkreuzgasse,21417.0,11.15,114.0,0.0,24.37
Max Horkheimer Str. 2,5940.0,3.44,210.0,0.0,17.17
Mercatorstr. 37,5352.0,3.1,54.0,0.0,8.23
